"Transcript Position (%)","strain_185","strain_188","strain_189","strain_191","strain_48"
0,1417.71301243537,1398.4285903745883,1351.7475238138886,1324.8205151065054,1295.1188477578155
1,2806.516146727523,2767.0185457772027,2699.5070322866095,2682.39349502751,2607.0818314366857
2,3985.9600669913416,3950.2345504971267,3863.9737567074017,3850.3181301647123,3797.3930311195945
3,5006.732729821292,4967.447540013228,4887.10259581116,4865.867954513107,4821.666302614574
4,6011.691587857594,5977.816591691934,5901.687371401213,5867.1791934755975,5840.397290954339
5,6989.752733996278,6966.745140061216,6888.405323450412,6838.10959164228,6854.234724927297
6,7845.186271041273,7816.489146011107,7743.859985278389,7687.64411476462,7740.213118605132
7,8630.990160063438,8595.63377723017,8535.463870404312,8467.514553252191,8555.249941310498
8,9407.807297781352,9365.962149406945,9321.806277965134,9240.178170244635,9352.023961277644
9,10183.706215720178,10135.491528172937,10084.392930442824,9992.317611487546,10122.745624640636
10,10914.437468530565,10849.677948982027,10796.784856251168,10703.412876108423,10843.423337111944
11,11609.413948059908,11526.048515896518,11474.542563257728,11371.28978754184,11531.937968023594
12,12260.076030371441,12163.71072482736,12105.288251972584,11999.804911081626,12174.480030891471
13,12832.814174498308,12726.495285445804,12649.95184856879,12541.307436544239,12715.080425114387
14,13405.933048383009,13283.958227679237,13191.91320606203,13060.639396349603,13242.044998990843
15,13936.625602050251,13809.887444653115,13703.677970534665,13559.639565141195,13729.802282131246
16,14444.95648276497,14313.41178010602,14181.691291371082,14030.59917867944,14211.745358356924
17,14952.507061503946,14796.76053367342,14651.124846486124,14482.941210232773,14669.890946659578
18,15384.852372401758,15209.316714714092,15051.300221224143,14877.11997642064,15071.939427242785
19,15813.102612002162,15619.698420526067,15447.520038186158,15261.966691190246,15451.187374361538
20,16211.722100523355,16012.742197382668,15817.036905907667,15626.330772628902,15787.06301447235
21,16623.785362600192,16415.483440190164,16195.981897063275,15990.99416822972,16132.945194443477
22,16979.982545434217,16762.1143753019,16521.237170243036,16312.830315320216,16442.074096839024
23,17299.918299107554,17075.64942152718,16800.419932149973,16602.556206125006,16735.72098448128
24,17609.17285554912,17368.80364140705,17064.73420167796,16874.954261939296,17010.983958000143
25,17865.60772539761,17610.483124433325,17284.626934950444,17096.607733223318,17238.833917155378
26,18113.541518995487,17849.435935897593,17511.15931442768,17307.299572972057,17450.332729720456
27,18336.352658547006,18061.16816267452,17719.10777154839,17503.063793910373,17640.200435498344
28,18665.999592096283,18363.542150185975,18007.775454348677,17781.648802396463,17923.67366521401
