"Inner Distance (bp)","strain_185","strain_188","strain_189","strain_191","strain_48"
-247.5,0,0,0,0,0
-242.5,0,0,0,0,0
-237.5,0,0,0,0,0
-232.5,0,0,0,0,0
-227.5,0,0,0,0,0
-222.5,0,0,0,0,0
-217.5,0,0,0,0,0
-212.5,0,0,0,0,0
-207.5,0,0,0,0,0
-202.5,0,0,0,0,0
-197.5,0,0,0,0,0
-192.5,0,0,0,0,0
-187.5,0,0,0,0,0
-182.5,0,0,0,0,0
-177.5,0,0,0,0,0
-172.5,0,0,0,0,0
-167.5,0,0,0,0,0
-162.5,0,0,0,0,0
-157.5,0,0,0,0,0
-152.5,238,262,306,257,328
-147.5,4058,4878,5660,4795,5353
-142.5,4638,5424,6352,5298,6194
-137.5,4717,5917,6534,5494,5837
-132.5,5297,6566,7314,6187,6845
-127.5,5965,7253,7709,6612,7284
-122.5,7311,8220,9120,7584,8995
-117.5,8535,9515,10224,8788,10341
-112.5,9990,11150,11732,10158,12622
-107.5,11623,13632,13460,12086,13970
-102.5,15063,16156,16328,14518,16397
-97.5,16513,18643,17903,16103,17512
-92.5,20625,21710,21822,19697,20745
-87.5,21698,22080,22988,20333,21652
-82.5,24814,24477,25853,22944,25301
-77.5,27325,26565,28110,25147,27937
-72.5,29209,29099,29597,27079,30806
-67.5,31440,30388,31547,28807,33237
-62.5,34019,33115,33759,31499,36718
-57.5,38739,37054,38331,35982,42533
-52.5,37089,35576,36958,34765,45372
-47.5,38921,38405,38771,36623,48663
-42.5,40163,39037,39575,37605,51117
-37.5,41466,42163,40084,39596,54740
-32.5,42590,43343,40665,41302,51968
-27.5,45470,46787,43125,43645,52033
-22.5,42994,42514,41567,41627,45802
-17.5,39356,40242,37602,38672,39741
-12.5,36770,36814,35261,36751,37523
-7.5,33030,34865,32003,33663,29898
-2.5,32634,31733,30938,33275,28528
2.5,28798,27204,27430,29408,22163
7.5,26506,25376,25296,27651,19979
12.5,24885,23588,23997,26171,18174
17.5,21574,20522,20665,22840,14816
22.5,18831,17697,18043,20502,12878
27.5,15986,15621,15550,17793,11201
32.5,14732,14408,14152,16804,9765
37.5,13127,12576,12447,14765,8668
42.5,11838,11407,11553,13239,7713
47.5,10384,10084,10217,12133,6340
52.5,9171,8708,9007,10233,5096
57.5,7712,7312,7443,8922,4178
62.5,6134,5963,5995,7409,3589
67.5,5086,4939,4830,6019,2842
72.5,4488,4311,4201,5195,2349
77.5,3891,3689,3786,4651,2141
82.5,3176,3129,3207,3874,1805
87.5,2991,2750,2913,3530,1377
92.5,2236,2212,2213,2737,1148
97.5,2216,2062,2176,2502,1039
102.5,1888,1672,1705,2197,912
107.5,1656,1477,1617,1852,782
112.5,1403,1304,1416,1796,652
117.5,1185,1143,1128,1459,585
122.5,1029,905,952,1218,429
127.5,848,832,883,1162,436
132.5,791,697,722,842,326
137.5,620,612,599,716,283
142.5,498,524,538,675,263
147.5,457,400,429,577,167
152.5,423,392,375,510,189
157.5,370,336,399,486,147
162.5,328,282,309,373,110
167.5,240,267,314,333,101
172.5,238,210,243,311,108
177.5,212,168,224,257,83
182.5,217,213,189,247,61
187.5,139,151,140,160,71
192.5,121,126,167,169,65
197.5,86,82,85,120,48
202.5,90,121,102,90,37
207.5,78,65,88,88,29
212.5,79,56,87,88,39
217.5,69,52,60,90,24
222.5,48,44,41,65,21
227.5,37,33,49,45,25
232.5,46,40,37,57,17
237.5,24,50,35,41,8
242.5,27,41,31,43,17
247.5,42,30,39,41,10
