"Percent of reads","strain_185","strain_188","strain_189","strain_191","strain_48"
5,3230,3011,3619,3515,3198
10,5531,5258,6212,5997,5415
15,7596,7306,8593,8296,7379
20,9619,9258,10800,10464,9023
25,11630,11109,12848,12584,10551
30,13454,12882,14878,14700,12011
35,15278,14570,16926,16633,13300
40,17039,16207,18880,18547,14563
45,18743,17853,20846,20355,15740
50,20473,19425,22684,22163,16816
55,22107,20954,24489,23940,17806
60,23711,22507,26171,25639,18803
65,25265,23916,27832,27330,19742
70,26798,25255,29530,28967,20649
75,28236,26659,31145,30573,21547
80,29706,27992,32701,32091,22428
85,31152,29303,34289,33621,23284
90,32541,30606,35851,35069,24053
95,33924,31904,37340,36599,24833
100,35239,33180,38888,38095,25617
